incident_date,district,crime_category,hour_of_day,day_of_week,recent_7day_count,precinct_density_score,future_incident_count
2026-01-01 00:00:00,Kalaburagi,Cybercrime,0,3,13,8.36,5
2026-01-01 01:00:00,Ballari,Assault,1,3,9,9.5,5
2026-01-01 01:00:00,Mysuru,Burglary,1,3,25,8.27,10
2026-01-01 01:00:00,Ballari,Assault,1,3,30,7.14,5
2026-01-01 03:00:00,Hubballi-Dharwad,Assault,3,3,10,1.9,4
2026-01-01 03:00:00,Kalaburagi,Fraud,3,3,6,5.71,2
2026-01-01 04:00:00,Shivamogga,Fraud,4,3,7,3.94,3
2026-01-01 04:00:00,Mysuru,Fraud,4,3,27,4.82,5
2026-01-01 06:00:00,Davanagere,Assault,6,3,7,7.25,4
2026-01-01 07:00:00,Hubballi-Dharwad,Cybercrime,7,3,11,7.65,6
2026-01-01 07:00:00,Belagavi,Assault,7,3,5,3.46,3
2026-01-01 07:00:00,Belagavi,Cybercrime,7,3,11,2.29,3
2026-01-01 07:00:00,Udupi,Cybercrime,7,3,14,7.71,6
2026-01-01 07:00:00,Shivamogga,Assault,7,3,43,9.33,9
2026-01-01 08:00:00,Udupi,Fraud,8,3,18,8.87,7
2026-01-01 09:00:00,Ballari,Burglary,9,3,13,8.52,5
2026-01-01 10:00:00,Ballari,Assault,10,3,31,5.36,6
2026-01-01 10:00:00,Shivamogga,Fraud,10,3,21,8.16,7
2026-01-01 10:00:00,Davanagere,Theft,10,3,21,6.53,5
2026-01-01 10:00:00,Udupi,Fraud,10,3,27,9.07,7
2026-01-01 10:00:00,Hubballi-Dharwad,Fraud,10,3,9,5.32,3
2026-01-01 11:00:00,Belagavi,Fraud,11,3,39,7.41,8
2026-01-01 11:00:00,Kalaburagi,Burglary,11,3,16,6.41,5
2026-01-01 11:00:00,Mysuru,Theft,11,3,4,7.66,3
2026-01-01 11:00:00,Hubballi-Dharwad,Cybercrime,11,3,28,6.13,10
2026-01-01 12:00:00,Hubballi-Dharwad,Cybercrime,12,3,27,3.57,7
2026-01-01 13:00:00,Udupi,Assault,13,3,24,6.28,5
